year,day,month,weekend_nights,week_nights,room_type,is_Holiday,adr
2015,1,7,0,0,2,0,4500
2015,1,7,0,0,2,0,4500
2015,1,7,0,1,0,0,2499
2015,1,7,0,1,0,0,2499
2015,1,7,0,1,0,0,2499
2015,1,7,0,1,0,0,2499
2015,1,7,0,1,2,0,4500
2015,1,7,0,1,2,0,4500
2015,1,7,0,1,0,0,2499
2015,1,7,0,1,3,0,6400
2015,1,7,0,1,4,0,13500
2015,1,7,0,1,3,0,6400
2015,1,7,0,1,3,0,6400
2015,1,7,0,1,6,0,2499
2015,1,7,0,1,4,0,13500
2015,1,7,0,1,3,0,6400
2015,1,7,0,1,4,0,13500
2015,1,7,0,1,0,0,2499
2015,1,7,0,1,0,0,2499
2015,1,7,0,1,6,0,2499
2015,1,7,1,1,5,0,2499
2015,1,7,1,1,0,0,2499
2015,1,7,1,1,0,0,2499
2015,1,7,1,1,3,0,6799
2015,1,7,1,1,3,0,6799
2015,1,7,1,1,3,0,6799
2015,1,7,1,1,3,0,6799
2015,1,7,1,1,4,0,13899
2015,1,7,1,1,0,0,2499
2015,1,7,1,1,3,0,6799
2015,1,7,1,1,0,0,2499
2015,1,7,1,1,3,0,6799
2015,1,7,1,1,4,0,13899
2015,2,7,1,1,0,0,2499
2015,2,7,1,1,3,0,6799
2015,2,7,1,1,3,0,6799
2015,2,7,1,1,0,0,2499
2015,2,7,1,1,3,0,6799
2015,2,7,1,1,3,0,6799
2015,2,7,1,1,4,0,13899
2015,2,7,1,1,6,0,2499
2015,2,7,1,1,3,0,6799
2015,2,7,1,1,5,0,2499
2015,2,7,1,1,4,0,13899
2015,2,7,1,1,0,0,2499
2015,2,7,1,1,6,0,2499
2015,2,7,1,1,0,0,2499
2015,2,7,1,1,4,0,13899
2015,2,7,1,1,0,0,2499
2015,2,7,1,1,4,0,13899
2015,2,7,1,1,3,0,6799
2015,2,7,1,1,0,0,2499
2015,2,7,1,1,3,0,6799
2015,2,7,0,1,0,0,2499
2015,2,7,0,1,7,0,2499
2015,2,7,0,1,2,0,4500
2015,2,7,0,1,7,0,2499
2015,2,7,0,1,0,0,2499
2015,2,7,0,1,6,0,2499
2015,2,7,0,1,0,0,2499
2015,2,7,0,1,6,0,2499
2015,2,7,0,1,4,0,13500
2015,2,7,0,1,5,0,2499
2015,2,7,0,1,0,0,2499
2015,2,7,0,1,0,0,2499
2015,3,7,0,1,6,0,2499
2015,3,7,0,1,0,0,2499
2015,3,7,0,1,3,0,6400
2015,3,7,0,1,0,0,2499
2015,3,7,0,1,0,0,2499
2015,3,7,0,1,3,0,6400
